name,dtype,stored,size,ratio,nchunks,chunk_size,avg_chunk_stored,shape,chunk_shape,compressor,filters
/call_LRR,float32,8.35 GiB,24.79 GiB, 3,726,34.96 MiB,11.78 MiB,"(10221, 651050)","(1000, 10000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[BitRound(keepbits=5)]
/call_BAF,float32,6.02 GiB,24.79 GiB, 4.1,726,34.96 MiB,8.49 MiB,"(10221, 651050)","(1000, 10000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[BitRound(keepbits=5)]
/call_GS,float32,961.37 MiB,24.79 GiB, 26,726,34.96 MiB,1.32 MiB,"(10221, 651050)","(1000, 10000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[BitRound(keepbits=5)]
/call_genotype,int8,657.21 MiB,12.39 GiB, 19,726,17.48 MiB,926.97 KiB,"(10221, 651050, 2)","(1000, 10000, 2)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/call_genotype_mask,bool,79.48 MiB,12.39 GiB, 1.6e+02,726,17.48 MiB,112.1 KiB,"(10221, 651050, 2)","(1000, 10000, 2)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/sample_id,object,2.93 MiB,4.97 MiB, 1.7,66,77.07 KiB,45.44 KiB,"(651050,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=SHUFFLE, blocksize=0)",[VLenUTF8()]
/call_genotype_phased,bool,644.72 KiB,6.2 GiB, 1e+04,726,8.74 MiB,909 bytes,"(10221, 651050)","(1000, 10000)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/variant_allele,object,57.45 KiB,159.7 KiB, 2.8,11,14.52 KiB,5.22 KiB,"(10221, 2)","(1000, 2)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/variant_filter,bool,48.97 KiB,9.98 KiB, 0.2,11,929.1818181818181 bytes,4.45 KiB,"(10221, 1)","(1000, 1)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/variant_id,object,48.11 KiB,79.85 KiB, 1.7,11,7.26 KiB,4.37 KiB,"(10221,)","(1000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/variant_position,int32,36.37 KiB,39.93 KiB, 1.1,11,3.63 KiB,3.31 KiB,"(10221,)","(1000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/region_index,int32,8.62 KiB,264 bytes, 0.03,1,264.0 bytes,8.62 KiB,"(11, 6)","(11, 6)","Blosc(cname='zstd', clevel=9, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_length,int8,5.17 KiB,9.98 KiB, 1.9,11,929.1818181818181 bytes,481 bytes,"(10221,)","(1000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_contig,int8,4.99 KiB,9.98 KiB, 2,11,929.1818181818181 bytes,464 bytes,"(10221,)","(1000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_quality,float32,4.93 KiB,39.93 KiB, 8.1,11,3.63 KiB,459 bytes,"(10221,)","(1000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_id_mask,bool,4.87 KiB,9.98 KiB, 2,11,929.1818181818181 bytes,453 bytes,"(10221,)","(1000,)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/contig_id,object,4.51 KiB,200 bytes, 0.043,1,200.0 bytes,4.51 KiB,"(25,)","(25,)","Blosc(cname='zstd', clevel=7, shuffle=SHUFFLE, blocksize=0)",[VLenUTF8()]
/contig_length,int64,4.5 KiB,200 bytes, 0.043,1,200.0 bytes,4.5 KiB,"(25,)","(25,)","Blosc(cname='zstd', clevel=7, shuffle=SHUFFLE, blocksize=0)",None
/filter_id,object,4.43 KiB,8 bytes, 0.0018,1,8.0 bytes,4.43 KiB,"(1,)","(1,)","Blosc(cname='zstd', clevel=7, shuffle=SHUFFLE, blocksize=0)",[VLenUTF8()]
