name,dtype,stored,size,ratio,nchunks,chunk_size,avg_chunk_stored,shape,chunk_shape,compressor,filters
/call_LRR,float32,22.16 GiB,24.79 GiB, 1.1,1304,19.47 MiB,17.4 MiB,"(10221, 651050)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_BAF,float32,15.22 GiB,24.79 GiB, 1.6,1304,19.47 MiB,11.95 MiB,"(10221, 651050)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_GS,float32,2.22 GiB,24.79 GiB, 11,1304,19.47 MiB,1.74 MiB,"(10221, 651050)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_genotype,int8,663.97 MiB,12.39 GiB, 19,1304,9.73 MiB,521.4 KiB,"(10221, 651050, 2)","(10000, 1000, 2)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/call_genotype_mask,bool,84.7 MiB,12.39 GiB, 1.5e+02,1304,9.73 MiB,66.51 KiB,"(10221, 651050, 2)","(10000, 1000, 2)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/sample_id,object,3.19 MiB,4.97 MiB, 1.6,652,7.8 KiB,5.01 KiB,"(651050,)","(1000,)","Blosc(cname='zstd', clevel=7, shuffle=SHUFFLE, blocksize=0)",[VLenUTF8()]
/call_genotype_phased,bool,1.08 MiB,6.2 GiB, 5.9e+03,1304,4.87 MiB,869 bytes,"(10221, 651050)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/variant_id,object,40.83 KiB,79.85 KiB, 2,2,39.93 KiB,20.42 KiB,"(10221,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/variant_position,int32,39.03 KiB,39.93 KiB, 1,2,19.96 KiB,19.52 KiB,"(10221,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_allele,object,20.71 KiB,159.7 KiB, 7.7,2,79.85 KiB,10.35 KiB,"(10221, 2)","(10000, 2)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/variant_filter,bool,12.55 KiB,9.98 KiB, 0.8,2,4.99 KiB,6.28 KiB,"(10221, 1)","(10000, 1)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/variant_quality,float32,4.51 KiB,39.93 KiB, 8.8,2,19.96 KiB,2.26 KiB,"(10221,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_contig,int8,4.51 KiB,9.98 KiB, 2.2,2,4.99 KiB,2.25 KiB,"(10221,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/contig_id,object,4.51 KiB,200 bytes, 0.043,1,200.0 bytes,4.51 KiB,"(25,)","(25,)","Blosc(cname='zstd', clevel=7, shuffle=SHUFFLE, blocksize=0)",[VLenUTF8()]
/variant_id_mask,bool,4.5 KiB,9.98 KiB, 2.2,2,4.99 KiB,2.25 KiB,"(10221,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/contig_length,int64,4.5 KiB,200 bytes, 0.043,1,200.0 bytes,4.5 KiB,"(25,)","(25,)","Blosc(cname='zstd', clevel=7, shuffle=SHUFFLE, blocksize=0)",None
/filter_id,object,4.43 KiB,8 bytes, 0.0018,1,8.0 bytes,4.43 KiB,"(1,)","(1,)","Blosc(cname='zstd', clevel=7, shuffle=SHUFFLE, blocksize=0)",[VLenUTF8()]
