num_samples,num_sites,tool,user_time,sys_time,wall_time,storage,destination
10,116230,savvy,0.13,0.08,0.2664155960083008,hdd,file
100,204714,savvy,0.26,0.09,0.4170522689819336,hdd,file
1000,403989,savvy,0.54,0.24,1.0664055347442627,hdd,file
10000,863998,savvy,1.96,0.55,2.7934796810150146,hdd,file
100000,2365367,savvy,15.26,2.42,17.887389183044434,hdd,file
1000000,7254858,savvy,187.42,21.68,210.7331097126007,hdd,file
10,116230,bcftools,0.05,0.0,0.07271742820739746,hdd,file
100,204714,bcftools,0.19,0.01,0.21744537353515625,hdd,file
1000,403989,bcftools,1.91,0.04,1.9777517318725586,hdd,file
10000,863998,bcftools,30.47,0.13,30.646557092666626,hdd,file
100000,2365367,bcftools,808.7,1.96,811.0002002716064,hdd,file
10,116230,savvy,0.1,0.01,0.16929149627685547,hdd,memory
100,204714,savvy,0.17,0.01,0.24910569190979004,hdd,memory
1000,403989,savvy,0.42,0.03,0.49834418296813965,hdd,memory
10000,863998,savvy,1.8,0.13,1.9992766380310059,hdd,memory
100000,2365367,savvy,15.17,1.33,16.648773670196533,hdd,memory
1000000,7254858,savvy,189.15,18.16,208.69561052322388,hdd,memory
10,116230,zarr,0.14,0.04,0.8181381225585938,hdd,file
100,204714,zarr,0.23,0.05,0.7239711284637451,hdd,file
1000,403989,zarr,0.36,0.09,1.3032245635986328,hdd,file
10000,863998,zarr,0.75,0.16,1.8961529731750488,hdd,file
100000,2365367,zarr,1.94,0.4,4.910931825637817,hdd,file
1000000,7254858,zarr,5.1,1.06,8.754250288009644,hdd,file
10,116230,zarr,0.04,0.03,0.8703641891479492,hdd,memory
100,204714,zarr,0.04,0.06,0.7570948600769043,hdd,memory
1000,403989,zarr,0.11,0.05,1.0966625213623047,hdd,memory
10000,863998,zarr,0.18,0.13,1.5026800632476807,hdd,memory
100000,2365367,zarr,0.38,0.31,3.4210617542266846,hdd,memory
1000000,7254858,zarr,1.13,0.91,4.883056640625,hdd,memory
