sequence_length,num_samples,num_sites,tool,size
48129895,10,116230,10kx1k.zarr,978153
48129895,10,116230,bcf,1025550
48129895,10,116230,genozip,354173
48129895,10,116230,lz4.noshuffle.zarr,26175035
48129895,10,116230,noshuffle.zarr,2015839
48129895,10,116230,sav,1129700
48129895,10,116230,tsk,20678852
48129895,10,116230,vcf,1150542
48129895,10,116230,zarr,1642550
48129895,10,116230,zarr.zip,1902030
48129895,100,204714,10kx1k.zarr,2554254
48129895,100,204714,bcf,3659707
48129895,100,204714,genozip,937594
48129895,100,204714,lz4.noshuffle.zarr,52192903
48129895,100,204714,noshuffle.zarr,5601297
48129895,100,204714,sav,3176152
48129895,100,204714,tsk,40021956
48129895,100,204714,vcf,5425651
48129895,100,204714,zarr,4186256
48129895,100,204714,zarr.zip,4674752
48129895,1000,403989,10kx1k.zarr,12837050
48129895,1000,403989,bcf,37943914
48129895,1000,403989,genozip,2848466
48129895,1000,403989,lz4.noshuffle.zarr,170805450
48129895,1000,403989,noshuffle.zarr,29684987
48129895,1000,403989,sav,15171996
48129895,1000,403989,tsk,84118188
48129895,1000,403989,vcf,51158684
48129895,1000,403989,zarr,21716035
48129895,1000,403989,zarr.zip,22677313
48129895,10000,863998,10kx1k.zarr,131405592
48129895,10000,863998,bcf,392937527
48129895,10000,863998,genozip,9320034
48129895,10000,863998,lz4.noshuffle.zarr,1034089987
48129895,10000,863998,noshuffle.zarr,263464509
48129895,10000,863998,sav,125719556
48129895,10000,863998,tsk,188676700
48129895,10000,863998,vcf,489788482
48129895,10000,863998,zarr,194477180
48129895,10000,863998,zarr.zip,196545402
48129895,100000,2365367,10kx1k.zarr,1698073555
48129895,100000,2365367,bcf,4094888409
48129895,100000,2365367,genozip,353265431
48129895,100000,2365367,lz4.noshuffle.zarr,13303249840
48129895,100000,2365367,noshuffle.zarr,2941717053
48129895,100000,2365367,sav,1506424936
48129895,100000,2365367,tsk,547125364
48129895,100000,2365367,vcf,5520758768
48129895,100000,2365367,zarr,2211046809
48129895,100000,2365367,zarr.zip,2232159319
48129895,1000000,7254858,10kx1k.zarr,23696327402
48129895,1000000,7254858,bcf,55565380832
48129895,1000000,7254858,genozip,11479786512
48129895,1000000,7254858,lz4.noshuffle.zarr,230712763805
48129895,1000000,7254858,noshuffle.zarr,33509494333
48129895,1000000,7254858,sav,22816408065
48129895,1000000,7254858,tsk,1935565716
48129895,1000000,7254858,vcf,87376633094
48129895,1000000,7254858,zarr,25504333657
48129895,1000000,7254858,zarr.zip,26027865241
