num_samples,num_sites,slice,tool,user_time,sys_time,wall_time
10,116230,n10,bcftools,0.13,0.01,0.10558366775512695
10,116230,n/2,bcftools,0.11,0.01,0.09411430358886719
100,204714,n10,bcftools,0.11,0.01,0.08767557144165039
100,204714,n/2,bcftools,0.2,0.02,0.14697933197021484
1000,403989,n10,bcftools,0.15,0.01,0.09871220588684082
1000,403989,n/2,bcftools,1.21,0.04,0.7534537315368652
10000,863998,n10,bcftools,0.59,0.04,0.4490773677825928
10000,863998,n/2,bcftools,12.14,0.42,6.774934530258179
100000,2365367,n10,bcftools,4.57,0.18,4.091678619384766
100000,2365367,n/2,bcftools,100.85,3.47,62.29053592681885
1000000,7254858,n10,bcftools,49.28,2.55,46.02617383003235
1000000,7254858,n/2,bcftools,526.66,28.38,496.2525706291199
10,116230,n10,genozip,0.71,0.03,0.7459568977355957
10,116230,n/2,genozip,0.68,0.04,0.7260942459106445
100,204714,n10,genozip,3.04,0.03,3.090507984161377
100,204714,n/2,genozip,3.07,0.05,3.124236583709717
1000,403989,n10,genozip,14.34,0.06,14.40828537940979
1000,403989,n/2,genozip,15.01,0.18,15.117207288742065
10000,863998,n10,genozip,103.89,0.51,104.45311450958252
10000,863998,n/2,genozip,109.93,0.77,108.63516926765442
100000,2365367,n10,genozip,181.67,0.21,181.86254334449768
1000000,7254858,n10,genozip,1713.51,0.5,1714.3562417030334
10,116230,n10,savvy,0.02,0.01,0.09813475608825684
10,116230,n/2,savvy,0.02,0.0,0.05127358436584473
10,116230,n10,zarr,0.08,0.02,0.1556098461151123
10,116230,n/2,zarr,0.07,0.02,0.09370231628417969
100,204714,n10,savvy,0.04,0.01,0.1186671257019043
100,204714,n/2,savvy,0.04,0.0,0.07047033309936523
100,204714,n10,zarr,0.09,0.03,0.241424560546875
100,204714,n/2,zarr,0.04,0.04,0.09164047241210938
1000,403989,n10,savvy,0.07,0.02,0.17583513259887695
1000,403989,n/2,savvy,0.09,0.0,0.12132120132446289
1000,403989,n10,zarr,0.09,0.04,0.24530839920043945
1000,403989,n/2,zarr,0.1,0.03,0.1372992992401123
10000,863998,n10,savvy,0.23,0.03,0.3549983501434326
10000,863998,n/2,savvy,0.34,0.0,0.3811306953430176
10000,863998,n10,zarr,0.14,0.06,0.2908813953399658
10000,863998,n/2,zarr,0.45,0.05,0.5911726951599121
100000,2365367,n10,savvy,1.22,0.03,1.3719048500061035
100000,2365367,n/2,savvy,1.84,0.01,1.891174554824829
100000,2365367,n10,zarr,0.22,0.04,0.4682471752166748
100000,2365367,n/2,zarr,3.44,0.1,6.0457611083984375
1000000,7254858,n10,savvy,28.8,0.09,29.018161058425903
1000000,7254858,n/2,savvy,33.78,0.06,33.89780926704407
1000000,7254858,n10,zarr,0.54,0.07,0.7924380302429199
1000000,7254858,n/2,zarr,28.05,0.31,32.2554566860199
