num_samples,num_sites,tool,user_time,sys_time,wall_time,storage
10,116230,ts_cpp,1.12,0.02,1.1674549579620361,hdd
10,116230,ts_py,1.06,0.02,1.096158742904663,hdd
10,116230,zarr,1.03,0.01,1.0481481552124023,hdd
10,116230,zarr_java,2.97,0.17,2.841120719909668,hdd
100,204714,ts_cpp,2.16,0.06,2.5897934436798096,hdd
100,204714,ts_py,1.91,0.01,1.9599764347076416,hdd
100,204714,zarr,1.9,0.03,1.935041904449463,hdd
100,204714,zarr_java,4.97,0.16,4.710710525512695,hdd
1000,403989,ts_cpp,4.38,0.09,4.63648533821106,hdd
1000,403989,ts_py,4.37,0.04,4.4702064990997314,hdd
1000,403989,zarr,4.31,0.01,4.332334041595459,hdd
1000,403989,zarr_java,12.14,0.18,11.6894211769104,hdd
10000,863998,ts_cpp,15.82,0.27,17.185114860534668,hdd
10000,863998,ts_py,21.37,0.07,21.53391671180725,hdd
10000,863998,zarr,19.96,0.05,20.01940393447876,hdd
10000,863998,zarr_java,49.01,0.3,48.89315128326416,hdd
100000,2365367,ts_cpp,425.08,3.3,438.1729919910431,hdd
100000,2365367,ts_py,611.26,2.55,617.4908578395844,hdd
100000,2365367,zarr,567.76,2.19,570.9007339477539,hdd
100000,2365367,zarr_java,1420.39,4.53,1423.6240684986115,hdd
1000000,7254858,ts_cpp,13233.5,92.81,13573.45680975914,hdd
1000000,7254858,zarr_java,43780.5,245.28,44134.46237683296,hdd
1000000,7254858,zarr,16709.55,38.14,16910.057916879654,hdd
1000000,7254858,ts_py,18027.43,642.4,19163.17418241501,hdd
