num_samples,num_sites,tool,user_time,sys_time,wall_time,storage
10,116230,bcftools,0.12,0.0,0.13675761222839355,hdd
10,116230,genozip,0.83,0.05,0.8831460475921631,hdd
100,204714,bcftools,0.44,0.01,0.47107601165771484,hdd
100,204714,genozip,5.22,0.1,4.589955568313599,hdd
1000,403989,bcftools,4.69,0.01,4.737908840179443,hdd
1000,403989,genozip,87.82,1.52,72.05823564529419,hdd
10000,863998,bcftools,86.27,0.28,86.61403560638428,hdd
10000,863998,genozip,1884.28,26.28,1492.5740764141083,hdd
100000,2365367,bcftools,2258.89,4.64,2264.6672036647797,hdd
100000,2365367,genozip,50368.1,574.29,40710.060135126114,hdd
1000000,7254858,bcftools,73939.32,46.09,74023.08367824554,hdd
10,116230,bcftools+vcf,0.21,0.0,0.239119291305542,hdd
100,204714,bcftools+vcf,1.23,0.0,1.2580764293670654,hdd
1000,403989,bcftools+vcf,19.8,0.08,19.969261407852173,hdd
10000,863998,bcftools+vcf,400.47,0.74,401.5374720096588,hdd
100000,2365367,bcftools+vcf,11145.7,5.61,11156.32287812233,hdd
10,116230,savvy,0.13,0.0,0.20501112937927246,hdd
100,204714,savvy,0.25,0.01,0.31146860122680664,hdd
1000,403989,savvy,1.15,0.02,1.235931158065796,hdd
10000,863998,savvy,14.37,0.12,14.576720714569092,hdd
100000,2365367,savvy,303.43,1.21,304.8927204608917,hdd
1000000,7254858,savvy,8451.25,16.59,8471.293500185013,hdd
10,116230,zarr,2.17,0.05,3.1510775089263916,hdd
100,204714,zarr,3.59,0.08,4.876202344894409,hdd
1000,403989,zarr,9.21,0.19,11.620196342468262,hdd
10000,863998,zarr,36.45,0.87,49.259358167648315,hdd
100000,2365367,zarr,927.09,12.02,1300.323216676712,hdd
1000000,7254858,zarr,26227.92,187.22,31476.507442951202,hdd
