num_samples,num_sites,tool,user_time,sys_time,wall_time,storage,total_genotypes
10,116230,savvy,0.09,0.0,0.14366483688354492,hdd,2324600
10,116230,zarr,0.36,0.02,0.7545766830444336,hdd,2324600
10,116230,zarr_lz4_nshf,0.04,0.05,0.5193772315979004,hdd,2324600
10,116230,zarr_nshf,0.06,0.04,0.5237705707550049,hdd,2324600
100,204714,savvy,0.2,0.0,0.272308349609375,hdd,40942800
100,204714,zarr,0.5,0.04,1.0804810523986816,hdd,40942800
100,204714,zarr_lz4_nshf,0.15,0.08,1.0214776992797852,hdd,40942800
100,204714,zarr_nshf,0.16,0.05,0.9254353046417236,hdd,40942800
1000,403989,savvy,0.6,0.02,0.7018041610717773,hdd,807978000
1000,403989,zarr,0.92,0.13,1.8823189735412598,hdd,807978000
1000,403989,zarr_lz4_nshf,0.4,0.33,2.2495827674865723,hdd,807978000
1000,403989,zarr_nshf,0.56,0.22,2.056833267211914,hdd,807978000
10000,863998,savvy,4.44,0.14,4.701140403747559,hdd,17279960000
10000,863998,zarr,15.11,1.24,30.23222279548645,hdd,17279960000
10000,863998,zarr_lz4_nshf,6.98,4.75,31.925609350204468,hdd,17279960000
10000,863998,zarr_nshf,8.54,2.46,26.56853437423706,hdd,17279960000
100000,2365367,savvy,76.96,1.2,78.33014726638794,hdd,473073400000
100000,2365367,zarr,381.98,24.41,684.9575161933899,hdd,473073400000
100000,2365367,zarr_lz4_nshf,150.36,69.81,608.8239784240723,hdd,473073400000
100000,2365367,zarr_nshf,192.56,39.25,534.0450727939606,hdd,473073400000
1000000,7254858,savvy,2057.96,19.26,2079.4285020828247,hdd,14509716000000
1000000,7254858,zarr,11307.06,199.94,13944.744853019714,hdd,14509716000000
1000000,7254858,zarr_lz4_nshf,3299.06,641.17,7827.6361718177795,hdd,14509716000000
1000000,7254858,zarr_nshf,3657.86,205.71,6178.61172914505,hdd,14509716000000
