name,dtype,stored,size,ratio,nchunks,chunk_size,avg_chunk_stored,shape,chunk_shape,compressor,filters
/call_genotype,int8,797.35 MiB,122.1 GiB, 1.6e+02,131700,972.14 KiB,6.2 KiB,"(29903, 4384310, 1)","(100, 10000, 1)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/sample_Genbank_tree_name,object,13.19 MiB,33.45 MiB, 2.5,439,78.02 KiB,30.77 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Genbank_accession,object,7.32 MiB,33.45 MiB, 4.6,439,78.02 KiB,17.08 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Sample,object,7.27 MiB,33.45 MiB, 4.6,439,78.02 KiB,16.96 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Experiment,object,6.91 MiB,33.45 MiB, 4.8,439,78.02 KiB,16.12 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_id,object,6.84 MiB,33.45 MiB, 4.9,439,78.02 KiB,15.95 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Viridian_N,int16,4.33 MiB,8.36 MiB, 1.9,439,19.51 KiB,10.1 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/sample_Viridian_pangolin_1.29,object,3.99 MiB,33.45 MiB, 8.4,439,78.02 KiB,9.3 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Viridian_pangolin,object,3.9 MiB,33.45 MiB, 8.6,439,78.02 KiB,9.1 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Genbank_pangolin,object,2.8 MiB,33.45 MiB, 12,439,78.02 KiB,6.53 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Viridian_cons_len,int16,2.75 MiB,8.36 MiB, 3,439,19.51 KiB,6.41 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/sample_Genbank_N,int16,2.63 MiB,8.36 MiB, 3.2,439,19.51 KiB,6.13 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/sample_Region,object,1.35 MiB,33.45 MiB, 25,439,78.02 KiB,3.14 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/sample_Viridian_scorpio_1.29,object,1.25 MiB,33.45 MiB, 27,439,78.02 KiB,2.92 KiB,"(4384310,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
