name,dtype,stored,size,ratio,nchunks,chunk_size,avg_chunk_stored,shape,chunk_shape,compressor,filters
/call_PL,int16,6.12 TiB,72.42 TiB, 12,749036,101.38 MiB,8.57 MiB,"(3745170452, 1063, 10)","(10000, 1000, 10)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_genotype,int8,282.45 GiB,7.24 TiB, 26,749036,10.14 MiB,395.4 KiB,"(3745170452, 1063, 2)","(10000, 1000, 2)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/call_genotype_mask,bool,42.15 GiB,7.24 TiB, 1.8e+02,749036,10.14 MiB,59.01 KiB,"(3745170452, 1063, 2)","(10000, 1000, 2)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/variant_DP4,int32,26.24 GiB,55.81 GiB, 2.1,374518,156.25 KiB,73.47 KiB,"(3745170452, 4)","(10000, 4)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_MQSBZ,float32,13.08 GiB,13.95 GiB, 1.1,374518,39.06 KiB,36.63 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_RPBZ,float32,13.04 GiB,13.95 GiB, 1.1,374518,39.06 KiB,36.51 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_MQBZ,float32,12.97 GiB,13.95 GiB, 1.1,374518,39.06 KiB,36.32 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_SCBZ,float32,12.94 GiB,13.95 GiB, 1.1,374518,39.06 KiB,36.22 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_VDB,float32,12.84 GiB,13.95 GiB, 1.1,374518,39.06 KiB,35.95 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_quality,float32,12.84 GiB,13.95 GiB, 1.1,374518,39.06 KiB,35.95 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_BQBZ,float32,12.64 GiB,13.95 GiB, 1.1,374518,39.06 KiB,35.38 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_SGB,float32,12.12 GiB,13.95 GiB, 1.2,374518,39.06 KiB,33.93 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_position,int32,9.65 GiB,13.95 GiB, 1.4,374518,39.06 KiB,27.02 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_AC,int16,7.42 GiB,20.93 GiB, 2.8,374518,58.59 KiB,20.77 KiB,"(3745170452, 3)","(10000, 3)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_DP,int32,6.71 GiB,13.95 GiB, 2.1,374518,39.06 KiB,18.79 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/variant_allele,object,5.37 GiB,111.61 GiB, 21,374518,312.5 KiB,15.04 KiB,"(3745170452, 4)","(10000, 4)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/variant_AN,int16,3.05 GiB,6.98 GiB, 2.3,374518,19.53 KiB,8.54 KiB,"(3745170452,)","(10000,)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_genotype_phased,bool,2.03 GiB,3.62 TiB, 1.8e+03,749036,5.07 MiB,2.84 KiB,"(3745170452, 1063)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/variant_filter,bool,1.46 GiB,3.49 GiB, 2.4,374518,9.77 KiB,4.09 KiB,"(3745170452, 1)","(10000, 1)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
