name,dtype,stored,size,ratio,nchunks,chunk_size,avg_chunk_stored,shape,chunk_shape,compressor,filters
/call_AD,int16,658.44 GiB,17.03 TiB, 26,473131,37.75 MiB,1.43 MiB,"(59880903, 78195, 2)","(10000, 1000, 2)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_GQ,int16,654.45 GiB,8.52 TiB, 13,473131,18.88 MiB,1.42 MiB,"(59880903, 78195)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_DP,int16,570.03 GiB,8.52 TiB, 15,473131,18.88 MiB,1.23 MiB,"(59880903, 78195)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_DPF,int16,447.09 GiB,8.52 TiB, 20,473131,18.88 MiB,990.86 KiB,"(59880903, 78195)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_PL,int16,162.56 GiB,25.55 TiB, 1.6e+02,473131,56.63 MiB,360.27 KiB,"(59880903, 78195, 3)","(10000, 1000, 3)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_GQX,int16,40.99 GiB,8.52 TiB, 2.1e+02,473131,18.88 MiB,90.84 KiB,"(59880903, 78195)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
/call_FT,object,25.04 GiB,34.07 TiB, 1.4e+03,473131,75.51 MiB,55.5 KiB,"(59880903, 78195)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",[VLenUTF8()]
/call_genotype,int8,21.46 GiB,8.52 TiB, 4.1e+02,473131,18.88 MiB,47.57 KiB,"(59880903, 78195, 2)","(10000, 1000, 2)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/call_genotype_mask,bool,12.78 GiB,8.52 TiB, 6.8e+02,473131,18.88 MiB,28.32 KiB,"(59880903, 78195, 2)","(10000, 1000, 2)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/call_genotype_phased,bool,2.35 GiB,4.26 TiB, 1.9e+03,473131,9.44 MiB,5.2 KiB,"(59880903, 78195)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=BITSHUFFLE, blocksize=0)",None
/call_ADR,int8,383.38 MiB,4.26 TiB, 1.2e+04,473131,9.44 MiB,849 bytes,"(59880903, 78195)","(10000, 1000)","Blosc(cname='zstd', clevel=7, shuffle=NOSHUFFLE, blocksize=0)",None
